"time","V","Vadj","D","rho","H","I","normPW"
"2007-02-05 18:00:00",8.8,8.83321613009035,333.8443399,1.26572098635784,64.29264963,0.0795454545454545,39.4333333333333
"2007-02-05 18:20:00",8.1,8.13028014478229,327.8508085,1.26558378323616,64.25853014,0.135802469135802,33.51
"2007-02-05 18:30:00",7.7,7.72910595282776,326.4430008,1.26574154128581,66.36717439,0.142857142857143,28.7966666666667
"2007-02-05 18:40:00",7.2,7.22713674015949,326.1547939,1.26569992129953,67.95589745,0.152777777777778,23.9266666666667
"2007-02-05 18:50:00",6.8,6.8255642245091,324.1989369,1.2656638071957,66.83075845,0.176470588235294,20.5066666666667
"2007-02-05 19:00:00",8.1,8.12941062787196,319.7232343,1.26517777183371,66.32849276,0.148148148148148,34.64
"2007-02-05 19:10:00",9.1,9.13310069191908,317.8415937,1.26520234220726,60.3425616,0.164835164835165,46.38
"2007-02-05 19:20:00",8.5,8.5311190441521,318.6925273,1.26529169184159,59.25213754,0.129411764705882,37.97
"2007-02-05 19:30:00",8.1,8.1295391199473,316.5606481,1.26523776433298,58.6524725,0.160493827160494,33.7233333333333
"2007-02-05 19:40:00",7.7,7.72798307087111,317.4311692,1.26518996188931,57.43906021,0.220779220779221,30.8066666666667
"2007-02-05 19:50:00",9,9.03336536762687,304.0051083,1.26546642602993,60.90155959,0.122222222222222,44.1533333333333
"2007-02-05 20:00:00",8,8.02835793989294,317.836813,1.26485181144209,53.5591948,0.1625,35.3033333333333
"2007-02-05 20:10:00",7.7,7.72693286633545,320.0693716,1.26467422796526,57.03538239,0.155844155844156,31.22
"2007-02-05 20:30:00",7.5,7.53302277428855,308.340798,1.26809992843971,66.07299626,0.2,26.6566666666667
"2007-02-05 20:40:00",5.6,5.62405084063514,311.1591569,1.26768998669597,69.1054368,0.178571428571429,9.42666666666667
"2007-02-05 20:50:00",8.3,8.33241892109588,314.2096474,1.26621787219252,68.59444201,0.132530120481928,34.7533333333333
"2007-02-05 21:00:00",9.3,9.33260387791738,308.2692002,1.26470454444677,63.49977553,0.172043010752688,49.0533333333333
"2007-02-05 21:30:00",8.1,8.12890463218911,316.0343241,1.2649415426624,69.80785489,0.148148148148148,33.9433333333333
