"time","V","Vadj","D","rho","I","S","normPW"
"2010-09-01 06:30:00",10.3,10.126893859722,186.3,1.14147013826321,0.0601941747572815,0.471686742084647,73.4424242424242
"2010-09-01 06:40:00",10.4,10.2227107085858,188.7,1.14063225639777,0.0634615384615385,0.466054264225227,76.2484848484848
"2010-09-01 06:50:00",10.4,10.2199465141773,188.8,1.13970723457291,0.0961538461538461,0.406244141993902,76.7090909090909
"2010-09-01 07:00:00",10.9,10.7091788798066,189.8,1.13903345164196,0.0935779816513762,0.380213208445655,81.0727272727273
"2010-09-01 07:10:00",10.9,10.7079195521942,189.9,1.13863167080832,0.108256880733945,0.278848213131794,82.0484848484848
"2010-09-01 07:20:00",10.9,10.709098701088,188.9,1.13900786829148,0.103669724770642,0.419753543870243,82.4
"2010-09-01 07:30:00",11.1,10.9080437653076,190,1.13977501626554,0.108108108108108,0.424272316638062,83.969696969697
"2010-09-01 07:40:00",11.5,11.3018880156037,187.4,1.14000546288654,0.102608695652174,0.395057472129842,87.9575757575758
"2010-09-01 07:50:00",11.4,11.2041920195868,186.6,1.14018291711992,0.0894736842105263,0.348117254162854,88.3757575757576
"2010-09-01 08:00:00",11.4,11.2038717112452,186.3,1.14008513238238,0.0771929824561404,0.358119698997081,86.9030303030303
"2010-09-01 08:10:00",11.5,11.3025728615848,185.9,1.1402127137817,0.0660869565217391,0.429245814832416,89.5272727272727
"2010-09-01 08:20:00",11.7,11.49927877296,183.9,1.14025418945105,0.0837606837606838,0.314256196019988,88.9151515151515
"2010-09-01 08:30:00",11.2,11.0096335976635,184.9,1.14080649111883,0.0651785714285714,0.360991932034805,84.7212121212121
"2010-09-01 08:40:00",10.9,10.7149662698706,188,1.14088109860595,0.111009174311927,0.410108442677437,83.2484848484848
"2010-09-01 08:50:00",11.1,10.9132041480368,187.7,1.14139339763078,0.106306306306306,0.344778501922471,84.7333333333333
"2010-09-01 09:00:00",11.1,10.9140871987435,188.5,1.14167049035003,0.0801801801801802,0.356949656008973,83.1454545454546
"2010-09-01 09:10:00",10.4,10.2272569220245,191.1,1.14215470899028,0.104807692307692,0.36614588510419,76.5515151515151
"2010-09-01 09:20:00",10.2,10.0303349111691,191.5,1.14207136251958,0.126470588235294,0.3351641241937,74.2363636363636
"2010-09-01 09:30:00",9.5,9.34189332402135,194.6,1.14204008974071,0.117894736842105,0.373120727329123,64.7515151515152
"2010-09-01 09:40:00",9.8,9.63768958770922,192.3,1.14232065647997,0.0918367346938775,0.355477911669444,65.4545454545455
"2010-09-01 09:50:00",9.5,9.34293680436013,193.2,1.14242282676885,0.0863157894736842,0.417547204479943,62.3757575757576
"2010-09-01 10:00:00",9.4,9.24501481183432,197.2,1.14258028798426,0.123404255319149,0.356053511565723,63.3090909090909
"2010-09-01 10:10:00",9.3,9.14760405796037,194,1.14293276737958,0.143010752688172,0.365561190654399,61.0484848484848
"2010-09-01 10:20:00",9.3,9.14868374301907,192.5,1.14333751371936,0.170967741935484,0.372614298599426,58.2242424242424
"2010-09-01 10:30:00",9,8.85656774501917,192.9,1.14450125360125,0.111111111111111,0.3626579871874,52.8969696969697
"2010-09-01 10:40:00",8.1,7.97298896824235,205.7,1.14539659332102,0.0716049382716049,0.408797014008175,41.3939393939394
"2010-09-01 10:50:00",8.3,8.19073282986627,298.4,1.15420102940174,0.378313253012048,0.155463202252139,50.6727272727273
"2010-09-01 11:00:00",6.9,6.82119685296562,321.9,1.16033109558446,0.831884057971015,0.546407011582166,31.1090909090909
"2010-09-01 11:10:00",8.4,8.30970839178982,325.2,1.16269805705413,0.213095238095238,0.35418786578982,45.1515151515152
"2010-09-01 11:20:00",8.8,8.71084952499253,337,1.16487941979769,0.164772727272727,0.490986012799572,46.7818181818182
"2010-09-01 11:30:00",8.9,8.8117775077464,340.1,1.16564955718045,0.129213483146067,0.556264425748024,49.5212121212121
"2010-09-01 11:40:00",8.8,8.71317590495502,337.8,1.1658129714345,0.148863636363636,0.571874084206246,48.0181818181818
"2010-09-01 11:50:00",8.2,8.12127559485783,319.3,1.16675223768803,0.123170731707317,0.521550893693713,39.9212121212121
"2010-09-01 12:00:00",8,7.92312025287761,315.7,1.16671890646116,0.08,0.671608427254439,36.3393939393939
"2010-09-01 12:10:00",7.1,7.03192257580331,323.5,1.16679524081348,0.111267605633803,0.591384159655299,26.5272727272727
"2010-09-01 12:20:00",6.9,6.83447399205835,334.5,1.16711988234196,0.140579710144928,0.619309749276607,25.9818181818182
"2010-09-01 12:30:00",6.7,6.63611757095239,347.1,1.16698496631957,0.0537313432835821,0.654817601347046,21.7030303030303
"2010-09-01 12:40:00",5.4,5.34783766743448,5.95,1.16654318887627,0.290740740740741,0.582380364526463,12.5818181818182
"2010-09-01 12:50:00",8.1,8.01825411490586,39.22,1.16501587953032,0.0716049382716049,0.555778177421386,41.7454545454545
"2010-09-01 13:00:00",8.7,8.60885188490828,63.56,1.1636581186921,0.0482758620689655,0.664435345538499,53.0242424242424
"2010-09-01 13:10:00",8.6,8.50732905166351,66.06,1.16260394835255,0.0511627906976744,0.96893932066914,50.7272727272727
"2010-09-01 13:20:00",8.4,8.30690940640541,70.12,1.16152354695468,0.0428571428571429,0.98017232057231,45.5333333333333
"2010-09-01 13:30:00",7.8,7.71369936261641,82.1,1.16158707631761,0.0461538461538462,0.76415101478661,37.4484848484848
"2010-09-01 13:40:00",7.8,7.7115915208826,87.1,1.16063509234619,0.0641025641025641,0.60551660325526,36.0424242424242
"2010-09-01 13:50:00",7.7,7.60820465363345,87.6,1.15856882238813,0.103896103896104,0.518477775219541,38.8909090909091
"2010-09-01 14:00:00",6,5.92719784773858,95.8,1.15782247405146,0.263333333333333,0.507899315618415,16.9515151515151
"2010-09-01 14:10:00",4.7,4.64078511754381,98.6,1.15618747287518,0.221276595744681,0.405646262708746,5.53939393939394
"2010-09-01 14:20:00",4,3.94795152692984,98.4,1.15473655798174,0.225,0.552358652560109,1.01818181818182
"2010-09-01 17:50:00",3.5,3.44175693897223,207.6,1.14204682598773,0.251428571428571,0.109648185820491,0.975757575757576
"2010-09-01 18:00:00",3.5,3.44182215373324,215.2,1.14211174607654,0.177142857142857,0.117067850276517,0.848484848484849
"2010-09-01 18:10:00",4.5,4.42476732514873,223,1.14177683635078,0.153333333333333,0.154216685727284,4.90909090909091
"2010-09-01 18:20:00",4.7,4.62045839995643,233.1,1.14106155625807,0.268085106382979,0.134398318412478,6.67272727272727
"2010-09-01 18:30:00",5.5,5.40511378488671,231.7,1.13991877900846,0.323636363636364,0.0424001645484153,12.9515151515151
"2010-09-01 18:40:00",5,4.91060494191124,242.8,1.13773843807546,0.362,0.163571359480796,9.28484848484849
"2010-09-01 18:50:00",5.2,5.11000752509263,246.8,1.13973016370697,0.159615384615385,0.125226312110267,10.0060606060606
"2010-09-01 19:00:00",5.3,5.20863198941612,255.2,1.13996329247283,0.120754716981132,0.114587414437326,9.2
"2010-09-01 19:10:00",4.1,4.03009513817958,250.8,1.14062209452237,0.226829268292683,0.0926485911864848,4.60606060606061
"2010-09-01 19:20:00",4.5,4.4229980174355,247.9,1.14040771562576,0.313333333333333,0.19708555783851,6.6969696969697
"2010-09-01 19:30:00",4.5,4.42321480210851,234.8,1.14057540846449,0.26,0.0567153380258932,5.5030303030303
"2010-09-01 19:40:00",4.1,4.02835513775979,234.2,1.13914533572013,0.260975609756098,0.152908595802448,4.24848484848485
"2010-09-01 19:50:00",4.2,4.12666400191262,238.2,1.13919196085666,0.376190476190476,0.10488442214236,3.81212121212121
"2010-09-01 20:00:00",4.4,4.32274588136612,234.6,1.13885528554023,0.213636363636364,0.145111510879554,4.46060606060606
"2010-09-01 20:10:00",4.4,4.32320367495789,235.9,1.1392171498842,0.156818181818182,0.0576975313044089,3.12727272727273
"2010-09-01 20:20:00",3.8,3.73269038433579,219.9,1.13831528696691,0.318421052631579,0.0117215578774636,0.454545454545455
"2010-09-01 20:30:00",4.1,4.02687626932924,224.1,1.13789120521186,0.148780487804878,0.131250077441248,1.22424242424242
"2010-09-01 20:50:00",3.7,3.63456930208414,205.3,1.13841640243202,0.332432432432432,0.218248492581301,1.19393939393939
