electrical_capacity,energy_source_level_1,energy_source_level_2,energy_source_level_3,technology,data_source,nuts_1_region,nuts_2_region,nuts_3_region,lon,lat,municipality,postcode,region,locality,owner,site_name
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.2333,50.0333,Ústí nad Orlicí,565 01,Pardubický,Choceň,EM - CO s.r.o.,FVE T. N. Kautníka 812
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.7333,50.65,Česká Lípa,471 24,Liberecký,Mimoň,,FVE Žitavská 285
0.019,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,14.3833,50.3667,Mělník,277 04,Středočeský,Cítov,,FVE Eder
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.0,49.5667,Pelhřimov,394 26,Vysočina,Lukavec,,FVE Kalina
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.7333,50.65,Česká Lípa,471 24,Liberecký,Mimoň,,FVE Žitavská 254
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.7333,50.65,Česká Lípa,471 24,Liberecký,Mimoň,,FVE177
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.9833,49.9333,Chrudim,538 63,Pardubický,Chroustovice,,FVE Holešovice 23
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.3667,49.0833,Uherské Hradiště,687 07,Zlínský,Tupesy,,FVS-Ing. Petr Vavruška
0.008,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.0,49.4,Pelhřimov,395 01,Vysočina,Chýstovice,,FVE Okrouhlík
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ031,15.0833,49.1833,Jindřichův Hradec,378 42,Jihočeský,Dívčí Kopy,,Pavel Brus
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5667,50.0167,Pardubice,535 01,Pardubický,Přelouč,,FVE Husova 351
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5333,49.9167,Chrudim,538 43,Pardubický,Třemošnice,,Třemošnice Novotný
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,14.4833,50.1833,Praha-východ,250 65,Středočeský,Bašť,,Rovenský1
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.25,50.2,Rychnov nad Kněžnou,517 01,Královéhradecký,Solnice,,Milan Hrubý
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.3833,50.2,Hradec Králové,503 51,Královéhradecký,Nové Město,,FVE Nové Město č.p. 119
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,15.4,49.85,Kutná Hora,286 01,Středočeský,Čáslav,,Čáslav Kopský
0.014,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.8667,49.9167,Opava,747 81,Moravskoslezský,Otice,,FVE KUNC 1
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.8667,49.9167,Opava,747 81,Moravskoslezský,Otice,,FVE KUNC 2
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5333,49.9167,Chrudim,538 43,Pardubický,Třemošnice,,Třemošnice Smutná
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5333,49.9167,Chrudim,538 43,Pardubický,Třemošnice,,FVE Třemošnice II
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.8667,49.2167,Klatovy,342 01,Plzeňský,Hrádek,,FVE - Zelená
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5333,49.9167,Chrudim,538 43,Pardubický,Třemošnice,,Třemošnice Raimund
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,12.9045,49.4524,Domažlice,344 01,Plzeňský,Domažlice,,SZMIGIEL FVE
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.95,49.8333,Chrudim,539 73,Pardubický,Skuteč,,FVE Máchova 257
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.4667,49.8667,Ústí nad Orlicí,560 02,Pardubický,Česká Třebová,,FVE 1
0.011,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.65,49.8833,Opava,747 55,Moravskoslezský,Jakartovice,,FVE Bahr Destne
0.017,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.7833,49.9667,Opava,746 01,Moravskoslezský,Opava,OFFICE SERVICE OSTRAVA s.r.o.,FVE Ubytovna Opava
0.025,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,15.4167,50.5167,Ostrava-město,709 00,Moravskoslezský,Ostrava,OFFICE SERVICE OSTRAVA s.r.o.,FVE Daliborova
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.4333,49.4,Ostrava-město,703 00,Moravskoslezský,Ostrava,OFFICE SERVICE OSTRAVA s.r.o.,FVE Vítkovice
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.85,49.7,Ostrava-město,700 30,Moravskoslezský,Ostrava,OFFICE SERVICE OSTRAVA s.r.o.,FVE Výškovice
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.275,49.85,Ostrava-město,702 00,Moravskoslezský,Ostrava,OFFICE SERVICE OSTRAVA s.r.o.,FVE PARKCENTRUM
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,14.2167,50.3667,Litoměřice,413 01,Ústecký,Budyně nad Ohří,,Svoboda1
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.25,49.9333,Ústí nad Orlicí,565 52,Pardubický,České Heřmanice,,MUDr. Marie Novotná
0.01,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5333,49.9167,Chrudim,538 43,Pardubický,Třemošnice,,Třemošnice Češka
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.9,50.05,Pardubice,530 02,Pardubický,Pardubice,,FVE Sladkovského 520
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ071,17.1,49.4,Prostějov,798 08,Olomoucký,Vranovice-Kelčice,,"FVE 4,23 kWp"
0.011,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,15.1,50.4333,Mladá Boleslav,294 04,Středočeský,Dolní Bousov,,FVE - SOFIE
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.9,50.2167,Hradec Králové,500 09,Královéhradecký,Hradec Králové,TAURA-ing. Miloš Reček a spol.,Taura v.o.s.
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.0667,50.4667,Náchod,549 41,Královéhradecký,Červený Kostelec,,FVE Garage
0.012,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.7833,49.9667,Opava,746 01,Moravskoslezský,Opava,,FVE MARIE DOLANSKÉ
0.019,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.7833,49.9667,Opava,746 01,Moravskoslezský,Opava,,FVE MARIE DOLANSKÉ 22
0.017,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.7833,49.9667,Opava,746 01,Moravskoslezský,Opava,,FVE DĚLNICKÁ
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.3167,50.2667,Rychnov nad Kněžnou,517 03,Královéhradecký,Skuhrov nad Bělou,,Alena Lišková
0.01,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,15.3,49.9,Benešov,256 01,Středočeský,Benešov,"ALMA Benešov, s.r.o.",FVE - ALMA
0.003,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,14.9833,50.0833,Kolín,289 11,Středočeský,Dobřichov,,FVE Kozák Dobřichov
0.027,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,15.1681,50.7292,Jablonec nad Nisou,466 01,Liberecký,Jablonec nad Nisou,,FVE - ELEVEN
0.026,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.3667,49.7667,Plzeň-město,323 00,Plzeňský,Plzeň,"BM stavební, s.r.o.",FVE Stavební
0.013,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.3667,49.7667,Plzeň-město,323 00,Plzeňský,Plzeň,"BM stavební, s.r.o.",FVE BRAŠNOVÁ
0.008,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.9556,50.7722,Liberec,460 14,Liberecký,Liberec,,FVE Neumanová
0.012,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.9556,50.7722,Liberec,460 14,Liberecký,Liberec,,FVE II
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.9556,50.7722,Liberec,460 01,Liberecký,Kryštofovo Údolí,"MADE IN CZECH, s.r.o.","FVE - MADE IN CZECH, s.r.o."
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.3167,49.0333,Znojmo,672 01,Jihomoravský,Dobřínsko,,FVE Dobřínsko
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.5667,49.1,Brno-venkov,664 43,Jihomoravský,Želešice,,Ing. Roman Křístek
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ01,CZ010,14.35,50.1133,,169 00,Hlavní město Praha,Praha,,"POZDEŇSKÁ 2129/5, 169 00 PRAHA 6"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.4167,49.3333,Kroměříž,767 01,Zlínský,Kroměříž,,FVE Vážany
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.6167,49.3167,Kroměříž,769 01,Zlínský,Martinice,,FVE Stískalová
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.8,49.3667,Jihlava,588 22,Vysočina,Brtnice,,výroba elektřiny
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.8667,49.8667,Chrudim,538 36,Pardubický,Žumberk,,FVE Žumberk 131
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,18.0333,49.4667,Vsetín,756 51,Zlínský,Zašová,,"FVE 4,6 kW Jiří Mikošek, Zašová 635, 756 51"
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.3088,49.383,Klatovy,339 01,Plzeňský,Klatovy,,FVE KITTLEROVÁ
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.8667,49.4167,Vsetín,756 44,Zlínský,Kunovice,,"FVE Kunovice 50, Kundrát"
0.017,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.6667,49.6,Blansko,679 63,Jihomoravský,Malá Roudka,,"FVE - JEŘÁBEK, SKOČOVA LHOTA č.p. 9"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.7833,50.3667,Trutnov,544 01,Královéhradecký,Dvůr Králové nad Labem,,FVE - Medlík
0.027,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.6,50.1167,Ústí nad Orlicí,564 01,Pardubický,Dlouhoňovice,Norservis s.r.o.,"Fotovoltaická elektrárna o výkonu 26,64 kWp"
0.029,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ071,17.1,49.5,Prostějov,798 17,Olomoucký,Smržice,"LASKI, s.r.o.",Smržice
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.0431,49.9039,Chrudim,538 54,Pardubický,Střemošice,,"FVE Prokop, Střemošice"
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,17.1667,48.9333,Hodonín,696 02,Jihomoravský,Ratíškovice,,výroba elektřiny
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.1167,50.0,Náchod,549 01,Královéhradecký,Nové Město nad Metují,,"FVE Špička, Nové Město n.Metují"
0.017,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ02,CZ020,14.8167,49.9,Kolín,281 63,Středočeský,Kostelec nad Černými Lesy,,FVE Mautvicová
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.9333,49.8833,Opava,747 61,Moravskoslezský,Vršovice,,FVE Svoboda Vršovice
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.2333,49.7,Havlíčkův Brod,584 01,Vysočina,Ledeč nad Sázavou,"INTEX, výrobní družstvo, Ledeč nad Sázavou","FVE INTEX I., Ledeč nad Sázavou"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.2333,49.7,Havlíčkův Brod,584 01,Vysočina,Ledeč nad Sázavou,"INTEX, výrobní družstvo, Ledeč nad Sázavou","FVE INTEX II., Ledeč nad Sázavou"
0.01,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,12.6,49.7833,Tachov,347 01,Plzeňský,Tachov,,"FVE Pokorný, Tachov"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.2333,49.9,Opava,747 14,Moravskoslezský,Markvartovice,,Werichova
0.008,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.4833,50.7333,Česká Lípa,471 17,Liberecký,Skalice u České Lípy,,Skalice u České Lípy 153
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.5667,50.0167,Pardubice,535 01,Pardubický,Přelouč,,Solární
0.019,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,15.0167,50.6833,Semily,513 01,Liberecký,Chuchelna,,FVE - Kudrnáč
0.003,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.2,49.5667,Pelhřimov,394 56,Vysočina,Senožaty,,Milan Razima
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,12.6,49.7833,Tachov,347 01,Plzeňský,Tachov,,"FVE Václav Valeš 5,29 kWp"
0.023,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.3667,49.7667,Ostrava-město,739 32,Moravskoslezský,Vratimov,Agelon s.r.o.,Dům služeb
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.6507,49.3601,Klatovy,341 01,Plzeňský,Chanovice,,"FVE Vyzrál 8,5 kWp"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.2333,49.9,Opava,747 14,Moravskoslezský,Ludgeřovice,ELPROM SERVICE s.r.o.,fotovoltaická elektrárna Elprom Service s.r.o.
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.6667,49.6,Blansko,679 63,Jihomoravský,Velké Opatovice,ELPROM SERVICE s.r.o.,fotovoltaická elektrárna Elprom Service s.r.o. - Brťov
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ031,14.6,49.25,Tábor,392 01,Jihočeský,Klenovice,,Tomáš Slavík
0.029,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.5,49.0833,Uherské Hradiště,686 01,Zlínský,Uherské Hradiště,"AEROMEC, spol. s r.o.","FVE Uherské Hradiště, Průmyslová 1150"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.5,49.0833,Uherské Hradiště,686 01,Zlínský,Uherské Hradiště,"AEROMEC, spol. s r.o.","FVE 2 Uherské Hradiště, Průmyslová 1146"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.5,49.0833,Uherské Hradiště,686 01,Zlínský,Uherské Hradiště,"AEROMEC, spol. s r.o.","FVE 3 Uherské Hradiště, Průmyslová 1146"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,16.0,49.6833,Žďár nad Sázavou,592 01,Vysočina,Herálec,,FVE Stanislav Major
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.3833,50.2,Hradec Králové,503 51,Královéhradecký,Chlumec nad Cidlinou,,FVE VĚŘÍŠ LUČICE
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.6667,49.9667,Ústí nad Orlicí,563 01,Pardubický,Albrechtice,,ALBRECHTICE
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.4667,49.5667,Blansko,679 74,Jihomoravský,Křtěnov,,"KŘTĚNOV - FVE 4,6 KW, DOSKOČIL, Š.P. 11"
0.022,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.5,49.95,Bruntál,792 01,Moravskoslezský,Bruntál,Vak Bruntál a.s.,ředitelství VaK Bruntál a.s.
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.5667,49.8667,Bruntál,793 68,Moravskoslezský,Leskovec nad Moravicí,Vak Bruntál a.s.,úpravna vody Leskovec
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.0,50.5333,Trutnov,542 32,Královéhradecký,Velké Svatoňovice,,FVE Bartoš - Markoušovice
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,14.1528,50.7278,Děčín,405 02,Ústecký,Děčín,KLM Vista s.r.o.,FVS - KLM Vista
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ051,14.4833,50.7333,Česká Lípa,471 17,Liberecký,Skalice u České Lípy,KLM Vista s.r.o.,FVS - KLM Vista II
0.008,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.7,50.15,Hradec Králové,503 27,Královéhradecký,Těchlovice,,Těchlovice 85
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,17.65,50.0167,Bruntál,793 15,Moravskoslezský,Lichnov,,FVE RD Brabenec Lichnov
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.1167,50.0,Náchod,549 01,Královéhradecký,Nové Město nad Metují,,JIŘÍ KRÝDA
0.009,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.2,49.5667,Pelhřimov,394 56,Vysočina,Senožaty,,Josef Razima
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.15,49.4667,Pelhřimov,393 01,Vysočina,Pelhřimov,,Jiří Polanský ml.
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,16.4833,50.05,Ústí nad Orlicí,561 51,Pardubický,Letohrad,,FVE Marie
0.025,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,17.1333,48.8667,Hodonín,695 01,Jihomoravský,Hodonín,,FVE
0.018,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,17.2667,48.9833,Hodonín,696 81,Jihomoravský,Bzenec,,FVE
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.9667,49.0167,Hodonín,696 36,Jihomoravský,Násedlovice,,FVE
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.0,49.4,Domažlice,345 02,Plzeňský,Kout na Šumavě,,"Václav Váchal, Kout na Šumavě č.p. 65, 345 02"
0.003,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,17.2667,48.9833,Hodonín,696 81,Jihomoravský,Bzenec,,FVE
0.02,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.5333,50.2,Hradec Králové,504 01,Královéhradecký,Humburky,,FVE Humburky č.p. 2
0.008,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.0833,49.7278,Ostrava-město,725 28,Moravskoslezský,Ostrava,,FVE BUČEK
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 1 Krupka 11x30kWp,Kollárova 567"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 2 Krupka 11x30kWp,Kollárova 578"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 3 Krupka 11x30kWp,Kollárova 598"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 4 Krupka 11x30kWp,Komenského 589"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 5 Krupka 11x30kWp,Jabloňová 211"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 6 Krupka 11x30kWp,Třešňová 210"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 7 Krupka 11x30kWp,Jabloňová 216"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 8 Krupka 11x30kWp,Jabloňová 223"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 9 Krupka 11x30kWp,Šeříková 233"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 10 Krupka 11x30kWp,Šeříková 236"
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.8833,50.675,Teplice,417 42,Ústecký,Krupka,Prevent Plus s.r.o.,"FVE 11 Krupka 11x30kWp,Šeříková 230"
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,14.4167,50.8167,,148 00,Hlavní město Praha,Praha,,MAŠATOVA 4a
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.1,49.9,Opava,747 92,Moravskoslezský,Háj ve Slezsku,,FVE NÁVRAT
0.004,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ08,CZ080,18.1,49.9,Opava,747 92,Moravskoslezský,Háj ve Slezsku,,Jiří Návrat
0.007,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.8667,50.1,Pardubice,533 04,Pardubický,Rokytno,,"Jiří Formánek, Rokytno č.p. 32, 533 04 Sezemice"
0.006,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,15.5333,50.2,Hradec Králové,504 01,Královéhradecký,Nový Bydžov,,FVE Vlk
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ03,CZ032,13.5167,49.75,Rokycany,337 01,Plzeňský,Rokycany,ANPESI rent s.r.o.,UBYTOVNA ROKYCANY FVE
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,17.0667,49.0833,Hodonín,696 39,Jihomoravský,Lovčice,,FVE OLDŘICH KREJČÍ
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ064,16.7667,49.5,Blansko,679 53,Jihomoravský,Benešov,,FVE
0.01,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.7833,50.0667,Pardubice,533 52,Pardubický,Pardubice,,FVE Keřka
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.7833,50.0667,Pardubice,533 52,Pardubický,Staré Hradiště,,FVE Keřkovi
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ07,CZ072,17.4667,49.35,Kroměříž,768 23,Zlínský,Břest,Freitag Project Development s.r.o.,"FV6-F051 Břest FPD 29,940 kWp"
0.029,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.75,50.4667,Most,434 01,Ústecký,Most,SolarMost s. r. o.,"FVE - 29,04 kWp"
0.015,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.75,50.4667,Most,434 01,Ústecký,Most,SolarMost s. r. o.,"FVE - 14,88"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ04,CZ042,13.75,50.4667,Most,434 01,Ústecký,Most,SolarMost s. r. o.,"FVE - 4,8"
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.5333,49.4167,Jihlava,588 41,Vysočina,Rantířov,,FVE Jiří Dobeš
0.013,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.6494,49.9259,Chrudim,538 03,Pardubický,Heřmanův Městec,,Miloš Pavlíček
0.03,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.1167,50.0,Náchod,549 01,Královéhradecký,Nové Město nad Metují,"ALUFRONT, s.r.o.",Alufront
0.029,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ052,16.1167,50.0,Náchod,549 01,Královéhradecký,Nové Město nad Metují,"ALUFRONT, s.r.o.",Alufront2
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ06,CZ063,15.5333,49.4167,Jihlava,588 41,Vysočina,Rantířov,,FVE Michal Horňák
0.005,Renewable energy,Solar,,Other or unspecified technology,ERU,CZ0,CZ05,CZ053,15.7833,50.0667,Pardubice,533 52,Pardubický,Srch,,MAREK ŠIMÍK
